"idhod","hodnota","stapro_kod","casz_cis","casz_kod","stavprace_cis","stavprace_kod","oceneni_cis","oceneni_kod","ocisteni_cis","ocisteni_kod","mesic","rok","mesicz","rokz","stapro_txt","casz_txt","stavprace_txt","oceneni_txt","ocisteni_txt"
"1267053100","88.6","5939","7626","C","175","023","7603","P","7604","O","9","2020","9","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267053734","87.9","5939","7626","C","175","023","7603","P",,,"9","2020","9","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","neočištěno"
"1267053101","87.9","5939","7626","C","175","023","7603","P","7604","P","9","2020","9","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","stálé (průměrné) ceny roku","očištěno o kalendářní vlivy, není očištěno o sezónní vlivy"
"1267042940","92.1","5939","7626","C",,,"7603","P","7604","O","9","2020","9","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267028554","95.1","5939","7626","C","175","024","7603","P",,,"9","2020","9","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","neočištěno"
"1267062956","93.4","5939","7626","C",,,,,,,"10","2020","10","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","běžné ceny","neočištěno"
"1267030522","101.3","5939","7626","C","175","024",,,,,"10","2020","10","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","běžné ceny","neočištěno"
"1267064362","88.8","5939","7626","C","175","023",,,,,"10","2020","10","2019","Index stavební produkce","stejné období předchozího roku","Pozemní stavitelství","běžné ceny","neočištěno"
"1267053106","100.9","5939","7626","C","175","024","7603","P","7604","O","10","2020","10","2019","Index stavební produkce","stejné období předchozího roku","Inženýrské stavitelství","stálé (průměrné) ceny roku","sezónně očištěno, včetně očištění o kalendářní vlivy"
"1267047925","90.7","5939","7626","C",,,"7603","P",,,"10","2020","10","2019","Index stavební produkce","stejné období předchozího roku","Stavební práce celkem","stálé (průměrné) ceny roku","neočištěno"
